from,to,from_id,to_id,outflow 17-24,outflow 24-may1,above normal_0,outflow 17-24,outflow 24-may1,above normal_5,outflow 17-24,outflow 24-may1,above normal_10,outflow 17-24,outflow 24-may1,above normal_15,outflow 17-24,outflow 24-may1,above normal_20
Achham,Sunsari,0,68,4,14,10,4,14,10,4,14,10,4,14,10,4,14,10
Achham,Surkhet,0,69,108,236,128,108,236,128,108,236,128,108,236,128,86,217,131
Achham,Syangja,0,70,2,9,7,2,9,7,2,9,7,2,9,7,2,9,7
Achham,Tanahu,0,71,1,12,11,1,12,11,1,12,11,1,12,11,1,12,11
Achham,Taplejung,0,72,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
Achham,Terhathum,0,73,1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,0,-1
Achham,Udayapur,0,74,4,0,-4,4,0,-4,4,0,-4,4,0,-4,4,0,-4
Arghakhanchi,Achham,1,0,0,6,6,0,6,6,0,6,6,0,6,6,0,6,6
Arghakhanchi,Arghakhanchi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arghakhanchi,Baglung,1,2,75,133,58,75,133,58,75,133,58,75,133,58,75,129,54
Arghakhanchi,Baitadi,1,3,6,5,-1,6,5,-1,6,5,-1,6,5,-1,6,5,-1
Arghakhanchi,Bajhang,1,4,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
Arghakhanchi,Bajura,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arghakhanchi,Banke,1,6,80,169,89,80,169,89,80,169,89,80,169,89,80,169,89
Arghakhanchi,Bara,1,7,30,47,17,30,47,17,30,47,17,30,47,17,30,47,17
Arghakhanchi,Bardiya,1,8,54,106,52,54,106,52,54,106,52,54,106,52,54,106,52
Arghakhanchi,Bhaktapur,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arghakhanchi,Bhojpur,1,10,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2
Arghakhanchi,Chitawan,1,11,74,138,64,74,138,64,74,138,64,74,138,64,74,138,64
Arghakhanchi,Dadeldhura,1,12,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5
Arghakhanchi,Dailekh,1,13,13,21,8,13,21,8,13,21,8,13,21,8,13,21,8
Arghakhanchi,Dang,1,14,2003,2470,467,2003,2470,467,2003,2470,467,1030,1391,361,954,1308,354
Arghakhanchi,Darchula,1,15,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2
Arghakhanchi,Dhading,1,16,23,27,4,23,27,4,23,27,4,23,27,4,23,27,4
Arghakhanchi,Dhankuta,1,17,6,7,1,6,7,1,6,7,1,6,7,1,6,7,1
Arghakhanchi,Dhanusha,1,18,14,29,15,14,29,15,14,29,15,14,29,15,14,29,15
Arghakhanchi,Dolakha,1,19,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0
Arghakhanchi,Dolpa,1,20,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
Arghakhanchi,Doti,1,21,8,10,2,8,10,2,8,10,2,8,10,2,8,10,2
Arghakhanchi,Gorkha,1,22,21,50,29,21,50,29,21,50,29,21,50,29,21,50,29
Arghakhanchi,Gulmi,1,23,1514,2448,934,1372,2204,832,1196,1936,740,691,1129,438,371,619,248
Arghakhanchi,Humla,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arghakhanchi,Ilam,1,25,8,7,-1,8,7,-1,8,7,-1,8,7,-1,8,7,-1
Arghakhanchi,Jajarkot,1,26,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2
Arghakhanchi,Jhapa,1,27,53,59,6,53,59,6,53,59,6,53,59,6,53,59,6
Arghakhanchi,Jumla,1,28,4,7,3,4,7,3,4,7,3,4,7,3,4,7,3
Arghakhanchi,Kabhrepalanchok,1,29,16,26,10,16,26,10,16,26,10,16,26,10,16,26,10
Arghakhanchi,Kailali,1,30,42,74,32,42,74,32,42,74,32,42,74,32,42,74,32
Arghakhanchi,Kalikot,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arghakhanchi,Kanchanpur,1,32,30,49,19,30,49,19,30,49,19,30,49,19,30,49,19
Arghakhanchi,Kapilbastu,1,33,1887,2723,836,1887,2723,836,1887,2723,836,1733,2482,749,1467,2166,699
Arghakhanchi,Kaski,1,34,103,150,47,103,150,47,103,150,47,103,150,47,103,150,47
Arghakhanchi,Kathmandu,1,35,782,694,-88,782,694,-88,782,694,-88,782,694,-88,782,694,-88
Arghakhanchi,Khotang,1,36,1,4,3,1,4,3,1,4,3,1,4,3,1,4,3
Arghakhanchi,Lalitpur,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arghakhanchi,Lamjung,1,38,13,15,2,13,15,2,13,15,2,13,15,2,13,15,2
Arghakhanchi,Mahottari,1,39,9,14,5,9,14,5,9,14,5,9,14,5,9,14,5
Arghakhanchi,Makawanpur,1,40,33,46,13,33,46,13,33,46,13,33,46,13,33,46,13
Arghakhanchi,Manang,1,41,1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,0,-1
Arghakhanchi,Morang,1,42,28,42,14,28,42,14,28,42,14,28,42,14,28,42,14
Arghakhanchi,Mugu,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arghakhanchi,Mustang,1,44,4,7,3,4,7,3,4,7,3,4,7,3,4,7,3
Arghakhanchi,Myagdi,1,45,4,11,7,4,11,7,4,11,7,4,11,7,4,11,7
Arghakhanchi,Nawalparasi,1,46,205,323,118,205,323,118,205,323,118,205,323,118,205,323,118
Arghakhanchi,Nuwakot,1,47,11,19,8,11,19,8,11,19,8,11,19,8,11,19,8
Arghakhanchi,Okhaldhunga,1,48,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
Arghakhanchi,Palpa,1,49,264,492,228,264,492,228,264,492,228,213,366,153,186,314,128
Arghakhanchi,Panchthar,1,50,6,5,-1,6,5,-1,6,5,-1,6,5,-1,6,5,-1
Arghakhanchi,Parbat,1,51,7,8,1,7,8,1,7,8,1,7,8,1,7,8,1
